dataset,shot,shot_label,backbone,method,method_variant,seed,top1_acc,top1_acc_source,num_prototypes_per_class,prototype_init,cache_entries,execution_env,run_mode,raw_metrics_is_paper_result,raw_metrics_eligible_for_paper_tables,run_dir,metrics_json_path,metadata_json_path,preflight_report_path
aid,4,4,remoteclip_vit_b32,tip_adapter,tip_adapter,2,0.902,top1_acc,,,120,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_2/20260518T142704_99eb06b9,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_2/20260518T142704_99eb06b9/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_2/20260518T142704_99eb06b9/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot4_seed2_20260518T142704/aid_remoteclip_vit_b32_tip_adapter_seed2/20260518T142727/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,tip_adapter,tip_adapter,2,0.8995,top1_acc,,,240,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_2/20260518T142812_94440a4b,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_2/20260518T142812_94440a4b/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_2/20260518T142812_94440a4b/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot8_seed2_20260518T142812/aid_remoteclip_vit_b32_tip_adapter_seed2/20260518T142844/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,tip_adapter,tip_adapter,2,0.9145,top1_acc,,,480,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_2/20260518T142943_de89d68b,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_2/20260518T142943_de89d68b/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_2/20260518T142943_de89d68b/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot16_seed2_20260518T142943/aid_remoteclip_vit_b32_tip_adapter_seed2/20260518T143011/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,tip_adapter,tip_adapter,3,0.8715,top1_acc,,,30,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_3/20260518T143047_a136290a,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_3/20260518T143047_a136290a/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_3/20260518T143047_a136290a/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot1_seed3_20260518T143047/aid_remoteclip_vit_b32_tip_adapter_seed3/20260518T143213/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,tip_adapter,tip_adapter,3,0.883,top1_acc,,,60,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_3/20260518T143257_53280004,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_3/20260518T143257_53280004/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_3/20260518T143257_53280004/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot2_seed3_20260518T143257/aid_remoteclip_vit_b32_tip_adapter_seed3/20260518T143319/result_run_preflight_report.json
aid,4,4,remoteclip_vit_b32,tip_adapter,tip_adapter,3,0.917,top1_acc,,,120,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_3/20260518T143355_213e4f7a,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_3/20260518T143355_213e4f7a/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_3/20260518T143355_213e4f7a/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot4_seed3_20260518T143355/aid_remoteclip_vit_b32_tip_adapter_seed3/20260518T143427/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,tip_adapter,tip_adapter,3,0.9185,top1_acc,,,240,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_3/20260518T143509_5e5b1019,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_3/20260518T143509_5e5b1019/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_3/20260518T143509_5e5b1019/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot8_seed3_20260518T143509/aid_remoteclip_vit_b32_tip_adapter_seed3/20260518T143535/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,tip_adapter,tip_adapter,3,0.919,top1_acc,,,480,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_3/20260518T143650_e69291b7,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_3/20260518T143650_e69291b7/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_3/20260518T143650_e69291b7/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot16_seed3_20260518T143650/aid_remoteclip_vit_b32_tip_adapter_seed3/20260518T143725/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,proto_adapter,proto_adapter,1,0.822,top1_acc,,,30,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_1/seed_1/20260518T143844_1726934d,results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_1/seed_1/20260518T143844_1726934d/metrics.json,results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_1/seed_1/20260518T143844_1726934d/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_proto_adapter_shot1_seed1_20260518T143844/aid_remoteclip_vit_b32_proto_adapter_seed1/20260518T143906/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,proto_adapter,proto_adapter,1,0.914,top1_acc,,,30,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_2/seed_1/20260518T143936_c733d176,results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_2/seed_1/20260518T143936_c733d176/metrics.json,results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_2/seed_1/20260518T143936_c733d176/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_proto_adapter_shot2_seed1_20260518T143936/aid_remoteclip_vit_b32_proto_adapter_seed1/20260518T144008/result_run_preflight_report.json
