dataset,shot,shot_label,backbone,method,method_variant,seed,num_prototypes_per_class,prototype_init,cache_entries,compression_ratio,top1_acc,training_time_sec,inference_time_sec,images_per_second,gpu_memory_mb,rs_cpc_m_sources,prototype_init_sources,run_dir,metrics_json_path,preflight_report_path
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_medoid,3,2,medoid,60,4.0,0.873,0.0,6.9523226991295815,575.3472865263853,,metrics.M=2; metadata.M=2; run_dir.M_x=2; command.--M=2; cache_entries/num_classes=2,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_2/medoid/seed_3/20260519T133246_e98dffca,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_2/medoid/seed_3/20260519T133246_e98dffca/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M2_medoid_seed3_20260519T133246/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T133305/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,3,2,random_group_mean,60,4.0,0.9395,0.0,6.916157009080052,578.3558694154135,,metrics.M=2; metadata.M=2; run_dir.M_x=2; command.--M=2; cache_entries/num_classes=2,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_2/random_group_mean/seed_3/20260519T133331_d74e56a9,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_2/random_group_mean/seed_3/20260519T133331_d74e56a9/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M2_random_group_mean_seed3_20260519T133331/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T133352/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_medoid,3,4,medoid,120,2.0,0.899,0.0,12.51431520935148,319.63394984736755,,metrics.M=4; metadata.M=4; run_dir.M_x=4; command.--M=4; cache_entries/num_classes=4,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_4/medoid/seed_3/20260519T133427_4a5a1adb,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_4/medoid/seed_3/20260519T133427_4a5a1adb/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M4_medoid_seed3_20260519T133427/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T133443/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_random_group_mean,3,4,random_group_mean,120,2.0,0.93,0.0,11.295815518125892,354.11343196791574,,metrics.M=4; metadata.M=4; run_dir.M_x=4; command.--M=4; cache_entries/num_classes=4,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_4/random_group_mean/seed_3/20260519T133515_eef26d3d,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_4/random_group_mean/seed_3/20260519T133515_eef26d3d/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M4_random_group_mean_seed3_20260519T133515/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T133532/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_medoid,3,8,medoid,240,1.0,0.917,0.0,20.015290771611035,199.84720909842866,,metrics.M=8; metadata.M=8; run_dir.M_x=8; command.--M=8; cache_entries/num_classes=8,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_8/medoid/seed_3/20260519T133613_ff53423e,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_8/medoid/seed_3/20260519T133613_ff53423e/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M8_medoid_seed3_20260519T133613/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T133652/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_random_group_mean,3,8,random_group_mean,240,1.0,0.917,0.0,20.002928254194558,199.9707217447631,,metrics.M=8; metadata.M=8; run_dir.M_x=8; command.--M=8; cache_entries/num_classes=8,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_8/random_group_mean/seed_3/20260519T133736_20353877,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_8/random_group_mean/seed_3/20260519T133736_20353877/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M8_random_group_mean_seed3_20260519T133736/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T133800/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,3,1,mean,30,16.0,0.948,0.0,4.779602156020701,836.8897388167208,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=mean; metadata.prototype_init=mean; run_dir.prototype_init=mean; command.--prototype-init=mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_3/20260519T133828_12cc3b32,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_3/20260519T133828_12cc3b32/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_mean_seed3_20260519T133828/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T133855/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,3,1,medoid,30,16.0,0.9245,0.0,4.763108154758811,839.7877751324224,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_3/20260519T133920_fa5027f1,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_3/20260519T133920_fa5027f1/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_medoid_seed3_20260519T133920/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T133939/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,3,1,random_group_mean,30,16.0,0.948,0.0,4.787458964623511,835.5162998905334,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_3/20260519T134006_aac10478,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_3/20260519T134006_aac10478/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_random_group_mean_seed3_20260519T134006/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134027/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_medoid,3,2,medoid,60,8.0,0.889,0.0,6.953462382778525,575.2529861823521,,metrics.M=2; metadata.M=2; run_dir.M_x=2; command.--M=2; cache_entries/num_classes=2,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_3/20260519T134055_93fe94aa,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_3/20260519T134055_93fe94aa/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M2_medoid_seed3_20260519T134055/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134140/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,3,2,random_group_mean,60,8.0,0.9465,0.0,6.971636896952987,573.7533464699279,,metrics.M=2; metadata.M=2; run_dir.M_x=2; command.--M=2; cache_entries/num_classes=2,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_3/20260519T134210_d512ab7f,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_3/20260519T134210_d512ab7f/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M2_random_group_mean_seed3_20260519T134210/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134231/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_medoid,3,4,medoid,120,4.0,0.88,0.0,11.278815262950957,354.64717762860596,,metrics.M=4; metadata.M=4; run_dir.M_x=4; command.--M=4; cache_entries/num_classes=4,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_3/20260519T134305_54b99807,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_3/20260519T134305_54b99807/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M4_medoid_seed3_20260519T134305/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134338/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_random_group_mean,3,4,random_group_mean,120,4.0,0.947,0.0,11.251737117767334,355.500662531806,,metrics.M=4; metadata.M=4; run_dir.M_x=4; command.--M=4; cache_entries/num_classes=4,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_3/20260519T134418_71fa9639,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_3/20260519T134418_71fa9639/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M4_random_group_mean_seed3_20260519T134418/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134441/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_medoid,3,8,medoid,240,2.0,0.905,0.0,20.165144397877157,198.36208068121206,,metrics.M=8; metadata.M=8; run_dir.M_x=8; command.--M=8; cache_entries/num_classes=8,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_3/20260519T134526_69840a4a,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_3/20260519T134526_69840a4a/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M8_medoid_seed3_20260519T134526/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134547/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_random_group_mean,3,8,random_group_mean,240,2.0,0.939,0.0,20.033500775694847,199.66555245565976,,metrics.M=8; metadata.M=8; run_dir.M_x=8; command.--M=8; cache_entries/num_classes=8,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/random_group_mean/seed_3/20260519T134630_b3e67a0b,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/random_group_mean/seed_3/20260519T134630_b3e67a0b/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M8_random_group_mean_seed3_20260519T134630/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134653/result_run_preflight_report.json
