dataset,shot,shot_label,backbone,method,method_variant,seed,num_prototypes_per_class,prototype_init,cache_entries,compression_ratio,top1_acc,training_time_sec,inference_time_sec,images_per_second,gpu_memory_mb,rs_cpc_m_sources,prototype_init_sources,run_dir,metrics_json_path,preflight_report_path
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,3,1,mean,10,4.0,0.6688888888888889,0.0,6.084008410573006,1775.1454750179794,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=mean; metadata.prototype_init=mean; run_dir.prototype_init=mean; command.--prototype-init=mean,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/mean/seed_3/20260518T021317_9794ce67,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/mean/seed_3/20260518T021317_9794ce67/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_108_rs_cpc_seed3_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022325/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,3,1,random_group_mean,10,4.0,0.6688888888888889,0.0,6.128333343192935,1762.3062250678863,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/random_group_mean/seed_3/20260518T021326_72d78476,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/random_group_mean/seed_3/20260518T021326_72d78476/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_109_rs_cpc_seed3_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022326/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,3,2,random_group_mean,20,2.0,0.697962962962963,0.0,8.329835258424282,1296.5442490687371,,metrics.M=2; metadata.M=2; run_dir.M_x=2; command.--M=2; cache_entries/num_classes=2,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_2/random_group_mean/seed_3/20260518T021338_d0215484,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_2/random_group_mean/seed_3/20260518T021338_d0215484/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_110_rs_cpc_seed3_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022327/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_random_group_mean,3,4,random_group_mean,40,1.0,0.6851851851851852,0.0,12.298712097108364,878.1407284539381,,metrics.M=4; metadata.M=4; run_dir.M_x=4; command.--M=4; cache_entries/num_classes=4,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_4/random_group_mean/seed_3/20260518T021353_df0790fc,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_4/random_group_mean/seed_3/20260518T021353_df0790fc/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_111_rs_cpc_seed3_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022329/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,3,1,medoid,10,4.0,0.5807407407407408,0.0,6.307810148224235,1712.1631352586603,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/medoid/seed_3/20260518T021402_d87c27bf,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_1/medoid/seed_3/20260518T021402_d87c27bf/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_112_rs_cpc_seed3_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022330/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_medoid,3,2,medoid,20,2.0,0.7248148148148148,0.0,8.367244644090533,1290.7474873018837,,metrics.M=2; metadata.M=2; run_dir.M_x=2; command.--M=2; cache_entries/num_classes=2,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_2/medoid/seed_3/20260518T021414_4dab192d,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_2/medoid/seed_3/20260518T021414_4dab192d/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_113_rs_cpc_seed3_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022331/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_medoid,3,4,medoid,40,1.0,0.6851851851851852,0.0,12.221868820488453,883.6619144443061,,metrics.M=4; metadata.M=4; run_dir.M_x=4; command.--M=4; cache_entries/num_classes=4,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_4/medoid/seed_3/20260518T021429_f6b4881a,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_4/M_4/medoid/seed_3/20260518T021429_f6b4881a/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_114_rs_cpc_seed3_shot4/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022333/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,3,1,mean,10,8.0,0.7196296296296296,0.0,6.336846124380827,1704.3178559200485,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=mean; metadata.prototype_init=mean; run_dir.prototype_init=mean; command.--prototype-init=mean,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/mean/seed_3/20260518T021438_b4d5fd68,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/mean/seed_3/20260518T021438_b4d5fd68/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_115_rs_cpc_seed3_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022334/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,3,1,random_group_mean,10,8.0,0.7196296296296296,0.0,6.22559324465692,1734.7744344314556,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/random_group_mean/seed_3/20260518T021447_de4a2faf,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_1/random_group_mean/seed_3/20260518T021447_de4a2faf/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_116_rs_cpc_seed3_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022335/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,3,2,random_group_mean,20,4.0,0.7620370370370371,0.0,8.254856051877141,1308.3208153029025,,metrics.M=2; metadata.M=2; run_dir.M_x=2; command.--M=2; cache_entries/num_classes=2,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_2/random_group_mean/seed_3/20260518T021458_bac0b5a5,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_8/M_2/random_group_mean/seed_3/20260518T021458_bac0b5a5/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_117_rs_cpc_seed3_shot8/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022337/result_run_preflight_report.json
